model_module,model_name,lf_model_type,m,n,M,true_optimal_value,candidate_ef_objective,candidate_true_objective,true_gap,point_estimate,point_estimate_hf_only,ci_lower,ci_upper,half_width,sample_variance_F,sample_variance_G_paired,sample_covariance_FG,variance_acv_estimator,standard_error_acv,sample_correlation,control_variate_coefficient,z_statistic,variance_reduction_factor
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,300,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6869591.167654041,6872436.083333333,0.0,6884145.876022185,14554.708368143869,7394462407.730609,5930173749.602687,6546521277.42057,78298330.54836106,8848.634388896462,0.9886067514177563,1.103934143221213,1.6448536269514722,94.43959221025038
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,300,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6869911.710463858,6872436.083333333,0.0,6884424.382181161,14512.671717303061,7394462407.730609,5930173749.602687,6546521277.42057,77846703.97934055,8823.077919827103,0.9886067514177563,1.103934143221213,1.6448536269514722,94.98748218926517
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,300,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6870009.052496349,6872436.083333333,0.0,6884480.225122673,14471.172626324313,7394462407.730609,5930173749.602687,6546521277.42057,77402134.07546067,8797.848263948445,0.9886067514177563,1.103934143221213,1.6448536269514722,95.53305598165575
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,200,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6876386.704239779,6867902.78125,0.0,6892858.253701238,16471.549461458664,10496911127.579329,8738767629.882812,9511212880.340439,100280016.29417229,10013.991027266416,0.9930704209010539,1.0883929271464088,1.6448536269514722,104.6760014157412
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,200,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6876750.477062363,6867902.78125,0.0,6893168.810854525,16418.333792162375,10496911127.579329,8738767629.882812,9511212880.340439,99633101.10684872,9981.63819755298,0.9930704209010539,1.0883929271464088,1.6448536269514722,105.35566002630202
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,200,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6876681.828750689,6867902.78125,0.0,6893047.609365386,16365.780614697824,10496911127.579329,8738767629.882812,9511212880.340439,98996293.96932745,9949.688134274735,0.9930704209010539,1.0883929271464088,1.6448536269514722,106.033374651698
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,100,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6879932.84857754,6879039.8125,0.0,6911744.282117762,31811.433540221253,43943470464.28095,36547590278.45982,39976697914.441826,374034762.72099304,19339.978353684706,0.9975401125710492,1.0938258202484836,1.6448536269514722,117.4849902843391
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,100,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6880287.928588815,6879039.8125,0.0,6911982.944834631,31695.016245815947,43943470464.28095,36547590278.45982,39976697914.441826,371302132.7755432,19269.201664198317,0.9975401125710492,1.0938258202484836,1.6448536269514722,118.34963116370066
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,8,100,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6880821.851308011,6879039.8125,0.0,6912401.850124949,31579.998816936935,43943470464.28095,36547590278.45982,39976697914.441826,368612200.1729889,19199.276032522397,0.9975401125710492,1.0938258202484836,1.6448536269514722,119.21328280414588
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,300,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6869150.226406329,6876285.222222221,0.0,6882684.498659793,13534.272253463512,6603497438.437845,5348404897.877743,5874043575.011528,67704152.06364393,8228.253281447038,0.9884120198523669,1.098279522057569,1.6448536269514722,97.53460071740297
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,300,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6869247.069829079,6876285.222222221,0.0,6882741.61709272,13494.54726364097,6603497438.437845,5348404897.877743,5874043575.011528,67307292.94884872,8204.102202486798,0.9884120198523669,1.098279522057569,1.6448536269514722,98.10968691693307
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,300,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6869147.069877825,6876285.222222221,0.0,6882602.39347429,13455.323596465661,6603497438.437845,5348404897.877743,5874043575.011528,66916586.68854666,8180.255906054936,0.9884120198523669,1.098279522057569,1.6448536269514722,98.68252051128738
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,200,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6875528.825137394,6878191.138888889,0.0,6891494.295471202,15965.470333808322,10137449962.783056,8658950649.131945,9304445928.285622,94212585.12550378,9706.316764123443,0.9931012358918692,1.0745465940746974,1.6448536269514722,107.60186602754415
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,200,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6875461.050156815,6878191.138888889,0.0,6891374.322304715,15913.272147900652,10137449962.783056,8658950649.131945,9304445928.285622,93597546.94378686,9674.582520387474,0.9931012358918692,1.0745465940746974,1.6448536269514722,108.30892789179016
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,200,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6875948.5191921145,6878191.138888889,0.0,6891810.234628044,15861.7154359297,10137449962.783056,8658950649.131945,9304445928.285622,92992044.23775554,9643.238265113827,0.9931012358918692,1.0745465940746974,1.6448536269514722,109.01416401670163
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,100,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6882837.465570695,6890944.944444444,0.0,6913097.335531335,30259.86996064092,39726126155.77753,32631236237.67361,35891644231.63183,338438374.9774389,18396.694675333365,0.9968698975939604,1.099916778212466,1.6448536269514722,117.38067870827521
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,100,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6883374.361433127,6890944.944444444,0.0,6913525.469154701,30151.107721573513,39726126155.77753,32631236237.67361,35891644231.63183,336009867.24564743,18330.571929038313,0.9968698975939604,1.099916778212466,1.6448536269514722,118.22904631171103
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,9,100,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6885273.992382471,6890944.944444444,0.0,6915317.63947836,30043.647095888835,39726126155.77753,32631236237.67361,35891644231.63183,333619010.7965193,18265.2405074918,0.9968698975939604,1.099916778212466,1.6448536269514722,119.07632619895053
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,10,300,118,9606599.999999875,nan,16475151.599999784,6868551.599999908,6868469.1572976755,6870599.45,0.0,6881354.634485268,12885.477187592289,6193055558.463523,4954914701.049109,5476140990.746872,61368640.04184866,7833.813888639981,0.988562294760711,1.1051937966938972,1.6448536269514722,100.91563955532237
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,10,300,119,9606599.999999875,nan,16475151.599999784,6868551.599999908,6868368.527791638,6870599.45,0.0,6881215.467143562,12846.939351923382,6193055558.463523,4954914701.049109,5476140990.746872,61002106.790104866,7810.384548157976,0.988562294760711,1.1051937966938972,1.6448536269514722,101.52199463819332
sparow_examples.mrp_facilityloc.mrp_discrete_facilityloc,HF,classic,10,300,120,9606599.999999875,nan,16475151.599999784,6868551.599999908,6867818.470686191,6870599.45,0.0,6880627.351806679,12808.881120488337,6193055558.463523,4954914701.049109,5476140990.746872,60641212.511464834,7787.246786346561,0.988562294760711,1.1051937966938972,1.6448536269514722,102.12618287097513
